name,platform,genre,year_of_release,critic_score,user_score,rating,global_sales
The Walking Dead: Survival Instinct,WiiU,Shooter,2013,76.0,4.6,M,0.12
Puyo Puyo Tetris,3DS,Puzzle,2014,71.0,7.9,Unknown,0.11
Fatal Frame: Maiden of Black Water,WiiU,Action,2014,67.0,7.6,M,0.11
Samurai Warriors 4-II,PS3,Action,2015,73.0,7.1,T,0.11
MLB 13: The Show,PSV,Sports,2013,75.0,7.5,E,0.12000000000000001
Super Run For Money Tousouchuu Atsumare! Saikyou no Tousou Monotachi,3DS,Action,2015,73.0,7.1,Unknown,0.11
Funky Barn,3DS,Simulation,2012,70.0,7.05,Unknown,0.11
Transformer: Rise of the Dark Spark,PS3,Action,2014,73.0,7.1,Unknown,0.11
MotoGP 14 ,PS3,Racing,2014,75.0,6.3,E,0.12000000000000001
Toukiden 2,PSV,Action,2016,73.0,7.1,Unknown,0.11
Transformer: Rise of the Dark Spark,XOne,Action,2014,73.0,7.1,Unknown,0.11
Akiba's Trip: Undead & Undressed,PS3,Action,2013,73.0,7.1,Unknown,0.11
LEGO Ninjago: Shadow of Ronin,PSV,Action,2015,70.0,7.1,E10+,0.11
Digimon Story: Cyber Sleuth,PS4,Role-Playing,2016,75.0,8.5,T,0.12000000000000001
Ridge Racer Unbounded,X360,Racing,2012,71.0,7.7,T,0.11
PriPara Mezase! Idol Grand Prix No.1!,3DS,Misc,2015,75.0,7.0,Unknown,0.11
Valkyrie Drive: Bhikkhuni,PSV,Action,2015,72.0,8.5,M,0.11
Samurai Warriors 4,PSV,Action,2014,76.0,8.6,T,0.11
AKB48+Me,3DS,Action,2012,73.0,7.1,Unknown,0.11
Yomawari,PSV,Adventure,2015,72.0,7.55,Unknown,0.11
Wasteland 2,PS4,Role-Playing,2015,74.0,7.5,Unknown,0.12000000000000001
Batman: Return to Arkham,XOne,Action,2016,77.0,8.2,T,0.11
Shining Ark,PSP,Role-Playing,2013,74.0,7.5,Unknown,0.11
My Little Sister Can't Be This Cute Portable,PSP,Action,2012,73.0,7.1,Unknown,0.11
Picross 3D 2,3DS,Puzzle,2015,71.0,7.9,Unknown,0.11
RIGS: Mechanized Combat League,PS4,Action,2016,79.0,7.9,T,0.11
NBA Live 16,XOne,Sports,2015,60.0,5.6,E,0.10999999999999999
Deus Ex: Human Revolution,WiiU,Shooter,2013,76.0,6.7,Unknown,0.11
[Prototype 2],PC,Action,2012,76.0,6.4,M,0.11
Zombie Army Trilogy,XOne,Shooter,2015,62.0,7.2,Unknown,0.11
God Eater 2: Rage Burst,PS4,Role-Playing,2015,69.0,8.0,T,0.09999999999999999
NASCAR '14,PS3,Racing,2014,67.0,4.6,E,0.11
Pro Evolution Soccer 2016,XOne,Sports,2015,85.0,6.2,E,0.11
ArmA III,PC,Shooter,2013,74.0,7.4,M,0.11
MLB 14: The Show,PSV,Sports,2014,68.0,7.0,E,0.11
Tales of the World: Reve Unitia,3DS,Role-Playing,2014,74.0,7.5,Unknown,0.11
WWE 2K17,X360,Sports,2016,77.0,5.7,T,0.09999999999999999
Robotics;Notes,PS3,Adventure,2012,72.0,7.55,Unknown,0.11
Warriors Orochi 3,PSP,Action,2012,73.0,7.1,Unknown,0.11
Dragon Ball Z: Battle of Z,PSV,Fighting,2014,66.0,7.5,T,0.11
Kuroko's Basketball: Miracle Game,PSP,Sports,2012,77.0,5.7,Unknown,0.11
Aquapazza: Aquaplus Dream Match,PS3,Fighting,2012,75.0,7.8,T,0.11
Mobile Suit Gundam Age: Universe Accel / Cosmic Drive,PSP,Action,2012,73.0,7.1,Unknown,0.11
Pac-Man and the Ghostly Adventures 2,X360,Adventure,2014,60.0,6.5,E10+,0.09999999999999999
Skylanders Imaginators,PS3,Platform,2016,78.0,7.2,E10+,0.11000000000000001
Fate/Extella: The Umbral Star,PS4,Action,2016,73.0,7.1,T,0.11
Mind Zero,PSV,Role-Playing,2013,59.0,6.0,T,0.11
Taiko no Tatsujin: V Version,PSV,Action,2015,73.0,7.1,Unknown,0.1
Kamen Rider: Battride War II,PS3,Action,2014,73.0,7.1,Unknown,0.1
Kenka Bancho Bros: Tokyo Battle Royale,PSP,Action,2012,73.0,7.1,Unknown,0.1
Taiko no Tatsujin: Don Don! Mystery Adventure,3DS,Action,2016,73.0,7.1,Unknown,0.1
Fatal Frame 2: Wii Edition,Wii,Action,2012,73.0,7.1,Unknown,0.1
Sacred 3,PS3,Role-Playing,2014,56.0,3.4,M,0.11
Wasteland 2,PC,Role-Playing,2015,81.0,7.3,M,0.09999999999999999
Pro Evolution Soccer 2014,PC,Action,2013,74.0,4.4,E,0.11
Etrian Odyssey II: Heroes of Lagaard,3DS,Role-Playing,2014,74.0,7.5,Unknown,0.1
Macross 30: Ginga o Tsunagu Utagoe,PS3,Shooter,2013,76.0,6.7,Unknown,0.1
Kidou Senshi Gundam UC,PS3,Action,2012,73.0,7.1,Unknown,0.1
Little Battlers eXperience W,3DS,Role-Playing,2013,74.0,7.5,Unknown,0.1
Blades of Time,X360,Action,2012,52.0,6.5,M,0.1
Dungeon Travelers 2: The Royal Library & The Monster Seal,PSV,Role-Playing,2014,74.0,7.5,Unknown,0.11
Samurai Warriors Chronicles 2nd,3DS,Action,2012,73.0,7.1,Unknown,0.1
Ride,XOne,Racing,2015,54.0,5.3,E,0.09999999999999999
NASCAR The Game: Inside Line,X360,Racing,2012,72.0,3.4,E,0.09999999999999999
How to Train Your Dragon 2,PS3,Adventure,2014,72.0,7.55,E10+,0.11
The Sims 4: City Living,PC,Simulation,2016,77.0,5.7,T,0.11
Inazuma Eleven GO Strikers 2013,Wii,Role-Playing,2012,74.0,7.5,Unknown,0.1
Football Manager 2014,PSV,Sports,2013,77.0,5.7,Unknown,0.1
Digimon Adventure,PSP,Role-Playing,2013,74.0,7.5,Unknown,0.1
Scribblenauts Unmasked: A DC Comics Adventure,WiiU,Puzzle,2013,71.0,6.3,E10+,0.09999999999999999
Terraria,PSV,Action,2013,85.0,7.8,T,0.09999999999999999
All Kamen Rider: Rider Generation 2,DS,Action,2012,73.0,7.1,Unknown,0.1
Scribblenauts Unmasked: A DC Comics Adventure,3DS,Puzzle,2013,68.0,6.2,E10+,0.09999999999999999
Resident Evil: Revelations 2,PSV,Action,2015,65.0,7.8,M,0.11
Resident Evil: Revelations 2,XOne,Action,2015,75.0,7.5,M,0.1
Thief (2014),PC,Action,2014,73.0,7.1,Unknown,0.09999999999999999
Earth Defense Force 2025.1: The Shadow of New Despair,PS4,Action,2015,73.0,7.1,Unknown,0.1
Sword Art Online: Lost Song,PS3,Role-Playing,2015,74.0,7.5,Unknown,0.1
Murdered: Soul Suspect,X360,Action,2014,73.0,7.2,M,0.09999999999999999
NBA 2K16,PC,Sports,2015,77.0,5.7,E10+,0.09999999999999999
Fate/hollow ataraxia,PSV,Adventure,2014,72.0,7.55,Unknown,0.1
Tales of Innocence R,PSV,Role-Playing,2012,74.0,7.5,Unknown,0.1
Steins;Gate,PSV,Adventure,2013,83.0,9.2,M,0.1
Ultra Street Fighter IV,PS4,Fighting,2015,71.0,5.9,T,0.09
EVE: Valkyrie,PS4,Shooter,2016,73.0,6.3,T,0.1
The Walking Dead: Season Two,X360,Adventure,2014,72.0,7.55,Unknown,0.09999999999999999
The Crew: Wild Run,PS4,Action,2015,73.0,6.8,T,0.09
The Walking Dead: Season Two,PSV,Adventure,2014,72.0,7.55,Unknown,0.1
Code:Realize - Sousei no Himegimi,PSV,Adventure,2014,72.0,7.55,Unknown,0.1
Natural Doctrine,PS4,Role-Playing,2014,53.0,6.0,M,0.1
NeverDead,X360,Shooter,2012,52.0,5.5,M,0.09999999999999999
Blades of Time,PS3,Action,2012,53.0,7.2,M,0.09
Pro Evolution Soccer 2016,X360,Sports,2015,77.0,7.0,E,0.09999999999999999
F1 2014,PC,Racing,2014,61.0,4.8,E,0.09999999999999999
Angry Birds Star Wars,WiiU,Strategy,2013,80.0,6.8,E,0.09999999999999999
The Idolmaster: Platinum Stars,PS4,Simulation,2016,70.0,7.05,Unknown,0.1
Jikkyou Powerful Pro Yakyuu 2013,PSV,Sports,2013,77.0,5.7,Unknown,0.1
Shovel Knight,WiiU,Platform,2015,88.0,8.3,E,0.09999999999999999
Makai Shin Trillion,PSV,Role-Playing,2014,74.0,7.5,Unknown,0.09999999999999999
Digimon World: Next Order,PSV,Action,2016,73.0,7.1,Unknown,0.1
Operation Abyss: New Tokyo Legacy,PSV,Role-Playing,2014,66.0,7.3,M,0.09
Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,PSV,Adventure,2012,72.0,7.55,Unknown,0.1
Gundam Breaker 3,PS4,Action,2016,73.0,7.1,Unknown,0.1
Etrian Odyssey 2 Untold: Knight of Fafnir,3DS,Role-Playing,2014,74.0,7.5,Unknown,0.1
Sol Trigger,PSP,Role-Playing,2012,74.0,7.5,Unknown,0.1
Samurai Warriors 4: Empires,PS4,Action,2015,71.0,6.5,T,0.09999999999999999
Kuroko's Basketball: Miracle Game,3DS,Sports,2014,77.0,5.7,Unknown,0.1
Lego Star Wars: The Force Awakens,PSV,Action,2016,73.0,7.1,E10+,0.09999999999999999
Skylanders Imaginators,XOne,Platform,2016,78.0,6.0,E10+,0.09999999999999999
The Voice,WiiU,Action,2014,73.0,7.1,Unknown,0.09
One Piece: Burning Blood,PSV,Fighting,2016,62.0,7.8,T,0.09000000000000001
Gundam Breaker,PSV,Action,2013,73.0,7.1,Unknown,0.09
Just Dance 2017,WiiU,Misc,2016,75.0,7.0,E10+,0.09999999999999999
Brain Age: Concentration Training,3DS,Puzzle,2012,71.0,7.9,E,0.09999999999999999
Pac-Man and the Ghostly Adventures 2,PS3,Adventure,2014,59.0,6.3,E10+,0.1
Disney Planes Fire & Rescue,3DS,Action,2014,73.0,7.1,Unknown,0.09999999999999999
PhotoKano,PSP,Adventure,2012,72.0,7.55,Unknown,0.09
Ouchi Mainichi Tamagotchi,3DS,Action,2012,73.0,7.1,Unknown,0.09
Super Robot Wars OG: The Moon Dwellers,PS4,Misc,2016,75.0,7.0,Unknown,0.09
Girls und Panzer: I Will Master Tankery,PSV,Action,2014,73.0,7.1,Unknown,0.09
Young Justice: Legacy,PS3,Action,2013,73.0,4.9,T,0.09
Ys VIII: Lacrimosa of Dana,PSV,Role-Playing,2016,74.0,7.5,Unknown,0.09
Devil May Cry 4,PS4,Action,2015,73.0,7.1,Unknown,0.09
Adventure Time: Finn & Jake Investigations,PS4,Action,2015,73.0,7.1,Unknown,0.1
Pro Evolution Soccer 2013,Wii,Sports,2012,77.0,5.7,E,0.09
MegaTagmension Blanc + Neptune VS Zombies,PSV,Action,2015,73.0,7.1,Unknown,0.09
The Smurfs 2,Wii,Platform,2013,78.0,7.2,E,0.09999999999999999
Uta no Prince-Sama: Debut,PSP,Adventure,2012,72.0,7.55,Unknown,0.09
PAC-MAN and the Ghostly Adventures,3DS,Platform,2013,78.0,7.2,E10+,0.09999999999999999
Teenage Mutant Ninja Turtles: Mutants in Manhattan,PS4,Action,2016,44.0,5.5,T,0.09000000000000001
Minecraft: Story Mode,PC,Adventure,2015,72.0,7.55,Unknown,0.09
Major League Baseball 2K12,PSP,Sports,2012,77.0,5.7,E,0.09
Steins;Gate 0,PSV,Adventure,2015,86.0,9.3,M,0.09
Resident Evil Chronicles HD,PS3,Shooter,2012,76.0,6.7,Unknown,0.09
Football Manager 2017,PC,Simulation,2016,81.0,4.3,E,0.09999999999999999
MXGP 2,PS4,Racing,2016,75.0,6.3,Unknown,0.08
Hyperdimension Idol Neptunia PP,PSV,Misc,2013,75.0,7.0,Unknown,0.09
Singstar: Ultimate Party,PS3,Misc,2014,75.0,7.0,Unknown,0.09
Digimon All-Star Rumble,PS3,Fighting,2014,49.0,5.8,E10+,0.1
Sonic Boom: Fire & Ice,3DS,Platform,2016,78.0,7.2,Unknown,0.09
Dead or Alive 5,PSV,Fighting,2013,74.0,7.4,Unknown,0.09
Yaiba: Ninja Gaiden Z,PS3,Action,2014,43.0,4.5,M,0.1
Castlevania: Lords of Shadow 2,X360,Action,2014,70.0,7.8,M,0.09
The Smurfs 2,PS3,Platform,2013,78.0,5.0,E,0.1
Cardfight!! Vanguard: Ride to Victory,3DS,Misc,2013,75.0,7.0,Unknown,0.09
The Wolf Among Us,PS3,Adventure,2014,72.0,8.2,Unknown,0.09000000000000001
Pokemon Rumble World,3DS,Action,2015,58.0,6.4,E10+,0.09
Rugby 15,PS3,Sports,2015,77.0,5.7,E,0.09
DriveClub VR,PS4,Racing,2016,67.0,7.4,E,0.09
Shin Ken to Mah? to Gakuenmono. Toki no Gakuen,PSP,Role-Playing,2012,74.0,7.5,Unknown,0.09
Uta no Prince-Sama: Music 2,PSP,Adventure,2013,72.0,7.55,Unknown,0.09
Skylanders Imaginators,X360,Platform,2016,78.0,7.2,E10+,0.09999999999999999
SpongeBob: HeroPants,X360,Platform,2015,78.0,3.4,E,0.09
Arslan: The Warriors of Legend,PS4,Action,2015,69.0,6.6,T,0.09
Pro Yaky? Spirits 2014,PSP,Sports,2014,77.0,5.7,Unknown,0.09
Atelier Totori: The Adventurer of Arland,PSV,Role-Playing,2012,74.0,7.5,Unknown,0.09
Fate/Extella: The Umbral Star,PSV,Action,2016,73.0,7.1,T,0.09
Might & Magic Heroes VII,PC,Strategy,2015,80.0,7.1,Unknown,0.08
Wolfenstein: The Old Blood,PC,Action,2015,76.0,7.6,M,0.08
GRID Autosport,X360,Racing,2014,75.0,6.0,E,0.09
Romance of the Three Kingdoms XII,PS3,Strategy,2012,80.0,7.1,Unknown,0.09
Adventure Time: Finn & Jake Investigations,PS3,Action,2015,73.0,7.1,Unknown,0.08
Jikkyou Powerful Pro Yakyuu 2012,PSV,Action,2012,73.0,7.1,Unknown,0.09
Sengoku Basara 4: Sumeragi,PS3,Action,2015,73.0,7.1,Unknown,0.09
Terraria,3DS,Action,2016,71.0,7.1,T,0.09
WRC 5: FIA World Rally Championship,PS3,Sports,2015,77.0,5.7,Unknown,0.08
Digimon World Re:Digitize Decode,3DS,Role-Playing,2013,74.0,7.5,Unknown,0.09
The Amazing Spider-Man (Console Version),WiiU,Action,2013,73.0,7.1,Unknown,0.09
Risen 3: Titan Lords,PC,Role-Playing,2014,65.0,5.7,M,0.08
Dead or Alive 5,XOne,Fighting,2015,74.0,7.4,Unknown,0.09999999999999999
Dynasty Warriors 8: Empires,PS3,Action,2014,73.0,7.1,T,0.09
Batman: A Telltale Game Series,PS4,Adventure,2016,72.0,7.55,Unknown,0.09
Rugby 15,XOne,Sports,2015,20.0,3.1,E,0.09
The Witch and the Hundred Knight,PS4,Role-Playing,2015,74.0,7.5,Unknown,0.09
Kuroko's Basketball: Ties to Future,3DS,Action,2015,73.0,7.1,Unknown,0.09
Inazuma Eleven 3,3DS,Role-Playing,2013,74.0,7.5,Unknown,0.08
Just Dance Wii U,WiiU,Misc,2014,75.0,7.0,Unknown,0.09
Assassin's Creed Chronicles,PS4,Action,2016,73.0,6.1,T,0.08
The Smurfs 2,WiiU,Platform,2013,42.0,5.6,E,0.08
Lara Croft and the Temple of Osiris,PS4,Action,2014,74.0,6.7,T,0.08
Lost Heroes,3DS,Role-Playing,2012,74.0,7.5,Unknown,0.09
SD Gundam G Generation Genesis,PSV,Strategy,2016,80.0,7.1,Unknown,0.09
Adventure Time: Finn & Jake Investigations,3DS,Action,2015,73.0,7.1,Unknown,0.09
Toukiden 2,PS4,Action,2016,73.0,7.1,Unknown,0.08
SD Gundam G Generation Genesis,PS4,Strategy,2016,80.0,7.1,Unknown,0.08
NASCAR The Game: Inside Line,PS3,Racing,2012,76.0,4.5,E,0.08
BlazBlue Central Fiction,PS4,Fighting,2016,85.0,7.6,T,0.08
The Seven Deadly Sins: Unjust Sin,3DS,Adventure,2015,72.0,7.55,Unknown,0.08
How to Train Your Dragon 2,WiiU,Adventure,2014,47.0,4.9,E10+,0.09
Angry Birds Star Wars,PSV,Strategy,2013,80.0,2.0,E,0.08
The Voice,X360,Action,2014,73.0,7.1,Unknown,0.08
The Golf Club,PS4,Sports,2014,66.0,6.3,E,0.08
God Eater Resurrection,PS4,Action,2015,70.0,7.8,T,0.08
MotoGP 14 ,X360,Racing,2014,75.0,6.3,E,0.08
Shovel Knight,PS4,Platform,2015,90.0,7.6,E,0.06999999999999999
Invizimals: The Alliance,PSV,Action,2013,69.0,6.8,E10+,0.08
Pro Evolution Soccer 2013,PC,Sports,2012,80.0,6.9,E,0.08
Transformers: Devastation,PS3,Action,2015,73.0,7.1,T,0.08
Battleborn,PC,Shooter,2016,69.0,6.9,T,0.09
Kamen Rider: Travelers Senki,3DS,Action,2013,73.0,7.1,Unknown,0.08
Pretty Rhythm: My Deco Rainbow Wedding,3DS,Misc,2013,75.0,7.0,Unknown,0.08
Guilty Gear Xrd -Revelator-,PS4,Fighting,2016,74.0,7.4,Unknown,0.09
Mega Man Legacy Collection,PS4,Platform,2016,77.0,6.1,E,0.09000000000000001
One Piece: Romance Dawn - Bouken no Yoake,3DS,Fighting,2013,74.0,7.4,Unknown,0.08
I Am In The Movie,Wii,Simulation,2012,70.0,7.05,Unknown,0.08
Adventure Time: The Secret of the Nameless Kingdom,3DS,Action,2014,65.0,5.6,E10+,0.07
Risen 3: Titan Lords,PS3,Role-Playing,2014,36.0,3.7,M,0.08
Transformers: Devastation,X360,Action,2015,73.0,8.4,T,0.07999999999999999
Titanfall 2,PC,Shooter,2016,85.0,8.0,M,0.08
Persona 4: Arena Ultimax,X360,Fighting,2014,85.0,7.4,T,0.07999999999999999
Pretty Rhythm Rainbow Live: Kira Kira My * Design,3DS,Misc,2013,75.0,7.0,Unknown,0.08
Warriors Orochi 3 Hyper,WiiU,Action,2012,64.0,7.4,T,0.09
PAC-MAN and the Ghostly Adventures,PS3,Platform,2013,51.0,3.1,E10+,0.06999999999999999
Uta no Prince-Sama: All Star After Secret,PSP,Action,2015,73.0,7.1,Unknown,0.08
Sniper: Ghost Warrior 2,PC,Shooter,2013,52.0,5.8,M,0.08
Pro Cycling Manager 2016,PS4,Sports,2016,77.0,5.7,Unknown,0.08
AKB1/149: Love Election,PS3,Adventure,2013,72.0,7.55,Unknown,0.08
Sherlock Holmes: Crimes & Punishments,XOne,Adventure,2014,72.0,7.55,Unknown,0.08
Akiba's Trip Plus,PSP,Adventure,2012,72.0,7.55,Unknown,0.08
Kobitodzukan: Kobito no Fushigi - Jikken Set,3DS,Misc,2013,75.0,7.0,Unknown,0.08
Doraemon: Nobita and the Island of Miracles,3DS,Action,2012,73.0,7.1,Unknown,0.08
Gekijouban Madoka Magicka: The Battle Pentagram,PSV,Action,2013,73.0,7.1,Unknown,0.08
PAC-MAN and the Ghostly Adventures,X360,Platform,2013,49.0,5.1,E10+,0.08
Pac-Man and the Ghostly Adventures 2,3DS,Adventure,2014,60.0,7.55,E10+,0.08
Game of Thrones,PC,Role-Playing,2012,58.0,6.5,M,0.08
UEFA Euro 2016,PS3,Sports,2016,77.0,5.7,Unknown,0.08
Lost Dimension,PSV,Role-Playing,2014,72.0,8.3,T,0.08
Resident Evil 6,PS4,Shooter,2016,60.0,6.7,M,0.06999999999999999
Assassin's Creed: Rogue,PC,Action,2015,74.0,7.5,M,0.08
Dungeon Travelers 2: The Royal Library & The Monster Seal,PSP,Role-Playing,2013,74.0,7.5,Unknown,0.08
X Rebirth,PC,Simulation,2013,33.0,3.3,T,0.08
Song of the Deep,PS4,Action,2016,69.0,7.3,E,0.06999999999999999
Dragon's Dogma Online,PS4,Role-Playing,2015,74.0,7.5,Unknown,0.08
Medabots Dual: Kabuto / Kuwagata,3DS,Role-Playing,2013,74.0,7.5,Unknown,0.08
Adventure Time: Explore the Dungeon Because I Don't Know!,X360,Action,2013,73.0,7.1,Unknown,0.08
Resident Evil Zero,XOne,Action,2016,73.0,7.1,Unknown,0.08
Assassin's Creed The Ezio Collection,XOne,Action,2016,74.0,7.6,M,0.08
Dangerous Ji-San to 1000-nin no Otomodachi Yokoshima,3DS,Action,2012,73.0,7.1,Unknown,0.08
Major League Baseball 2K12,DS,Sports,2012,77.0,5.7,E,0.08
Zoo Tycoon (2013),X360,Simulation,2013,70.0,7.05,Unknown,0.09
Just Dance: Disney Party 2,WiiU,Action,2015,73.0,7.1,E,0.07999999999999999
Metal Gear Solid V: The Phantom Pain,PC,Action,2015,91.0,7.7,M,0.07
Adventure Time: Finn & Jake Investigations,X360,Action,2015,73.0,7.1,Unknown,0.09
Valentino Rossi: The Game,PS4,Racing,2016,75.0,8.0,E,0.07
Samurai Warriors Chronicles 3,3DS,Action,2014,63.0,6.1,T,0.08
Yoru no Nai Kuni,PS4,Role-Playing,2015,74.0,7.5,Unknown,0.08
Sumikko Gurashi: Mura o Tsukurundesu,3DS,Misc,2016,75.0,7.0,Unknown,0.08
Need for Speed: Most Wanted,PC,Racing,2012,82.0,8.5,T,0.08
The Wolf Among Us,XOne,Adventure,2014,72.0,8.5,M,0.08
Romance of the Three Kingdoms 13,PS4,Action,2015,73.0,7.1,Unknown,0.08
Zero Escape: Zero Time Dilemma,3DS,Adventure,2016,81.0,8.5,M,0.08
Genkai Totsuki Moero Chronicle,PSV,Role-Playing,2014,74.0,7.5,Unknown,0.08
Aikatsu! My No.1 Stage!,3DS,Misc,2015,75.0,7.0,Unknown,0.08
Conception: Please Give Birth to My Child!,PSP,Role-Playing,2012,74.0,7.5,Unknown,0.08
Rayman Origins,PC,Platform,2012,86.0,8.4,E10+,0.06999999999999999
Yoru no Nai Kuni,PSV,Role-Playing,2015,74.0,7.5,Unknown,0.08
Nicola Kanshuu: Model Oshare * Audition Platina,3DS,Action,2012,73.0,7.1,Unknown,0.08
Grand Ages: Medieval,PS4,Strategy,2015,64.0,7.1,T,0.08
Supremacy MMA,PSV,Fighting,2012,74.0,7.4,Unknown,0.06999999999999999
Lost Dimension,PS3,Role-Playing,2014,71.0,7.3,T,0.07
Killer Instinct (2013),XOne,Fighting,2013,74.0,7.4,Unknown,0.08
AKB1/149: Love Election,PSV,Adventure,2012,72.0,7.55,Unknown,0.07
Kenka Banchou 6: Soul & Blood,3DS,Fighting,2015,74.0,7.4,Unknown,0.07
Medabots 8,3DS,Role-Playing,2014,74.0,7.5,Unknown,0.07
Divinity: Original Sin,XOne,Role-Playing,2015,74.0,7.5,Unknown,0.08
Touch Detective: Nameko Shigeru,3DS,Adventure,2013,72.0,7.55,Unknown,0.07
PhotoKano,PSV,Adventure,2013,72.0,7.55,Unknown,0.07
Warriors Orochi 3,PSV,Action,2013,73.0,7.1,Unknown,0.07
Soccer Tsuku: Pro Soccer Club o Tsukurou!,PSV,Sports,2013,77.0,5.7,Unknown,0.07
Summon Night 4,PSP,Role-Playing,2012,74.0,7.5,Unknown,0.07
Escape Dead Island,PS3,Action,2014,40.0,3.5,M,0.08
Hero Bank,3DS,Role-Playing,2014,74.0,7.5,Unknown,0.07
Disney's Planes,3DS,Simulation,2013,70.0,4.3,E,0.08
Utawarerumono: Itsuwari no Kamen,PSV,Adventure,2015,72.0,7.55,Unknown,0.07
Damage Inc.: Pacific Squadron WWII,X360,Simulation,2012,49.0,5.5,T,0.08
Tokimeki Memorial Girl's Side Premium: 3rd Story,PSP,Adventure,2012,72.0,7.55,Unknown,0.07
Toy Soldiers: War Chest,PS4,Action,2015,62.0,7.7,Unknown,0.06999999999999999
Fairy Fencer F: Advent Dark Force,PS4,Role-Playing,2015,71.0,6.2,T,0.07
Winning Post 7 2012,PS3,Sports,2012,77.0,5.7,Unknown,0.07
Model * Oshare Audition: Dream Girl,3DS,Misc,2013,75.0,7.0,Unknown,0.07
Dark Souls III,PC,Role-Playing,2016,89.0,8.6,M,0.07
E.X. Troopers,3DS,Shooter,2012,76.0,6.7,Unknown,0.07
The Croods: Prehistoric Party!,Wii,Misc,2013,75.0,7.0,Unknown,0.060000000000000005
J Legend Retsuden,3DS,Misc,2013,75.0,7.0,Unknown,0.07
Hyperdimension Neptunia Re;Birth 3,PSV,Action,2014,73.0,7.1,Unknown,0.08
Cho~ricchi! Tamagotchi no Puchi Puchi Omisecchi,3DS,Action,2012,73.0,7.1,Unknown,0.07
Just Dance: Disney Party 2,XOne,Action,2015,73.0,7.1,E,0.07
Grand Kingdom,PS4,Role-Playing,2015,78.0,8.1,T,0.06999999999999999
Magi: The Labyrinth of Beginning,3DS,Role-Playing,2013,74.0,7.5,Unknown,0.07
Escape Dead Island,X360,Action,2014,32.0,3.8,M,0.08
The Croods: Prehistoric Party!,DS,Misc,2013,75.0,7.0,Unknown,0.08
I Don't Have Many Friends Portable,PSP,Adventure,2012,72.0,7.55,Unknown,0.07
The Legend of Heroes: Trails in the Sky First Chapter,PSV,Role-Playing,2015,74.0,7.5,Unknown,0.07
Lost Heroes,PSP,Role-Playing,2012,74.0,7.5,Unknown,0.07
Child of Light,PSV,Role-Playing,2014,83.0,7.8,E10+,0.06999999999999999
The Legend of Heroes VII: The Trail of Zero,PSV,Role-Playing,2012,74.0,7.5,Unknown,0.07
Haikyuu!! Tsunage! Itadaki no Keshiki!!,3DS,Adventure,2014,72.0,7.55,Unknown,0.07
Cut the Rope,3DS,Puzzle,2014,71.0,7.9,E,0.06999999999999999
Resident Evil: Revelations 2,X360,Action,2015,73.0,6.6,M,0.06999999999999999
IA/VT Colorful,PSV,Misc,2015,75.0,7.0,Unknown,0.07
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PS3,Strategy,2013,80.0,7.1,Unknown,0.07
Tony Hawk's Pro Skater 5,X360,Sports,2015,77.0,2.8,T,0.06999999999999999
Fantasia: Music Evolved,X360,Misc,2014,75.0,7.0,E10+,0.07999999999999999
BlazBlue: Chrono Phantasma,PSV,Fighting,2014,74.0,7.8,T,0.06999999999999999
Tokyo Twilight Ghost Hunters,PSV,Role-Playing,2014,63.0,7.0,T,0.06999999999999999
Doraemon: Nobita to Himitsu Dougu Hakubutsukan,3DS,Action,2013,73.0,7.1,Unknown,0.07
Saint Seiya: Brave Soldiers,PS3,Fighting,2013,55.0,7.4,Unknown,0.06999999999999999
Earth Defense Force 2: Invaders from Planet Space,PSV,Action,2014,72.0,8.5,T,0.06999999999999999
Dynasty Warriors 8: Empires,XOne,Action,2014,58.0,6.8,T,0.06999999999999999
Tank! Tank! Tank!,WiiU,Action,2012,73.0,7.1,Unknown,0.08
Mugen Souls Z,PS3,Role-Playing,2013,57.0,6.4,T,0.08
Guilty Gear Xrd -Revelator-,PS3,Fighting,2016,74.0,7.4,Unknown,0.08
Hoppechan: Minna de Odekake! Waku Waku Hoppe Land!!,3DS,Action,2014,73.0,7.1,Unknown,0.07
Fairy Tail: Zelef Kakusei,PSP,Action,2012,73.0,7.1,Unknown,0.07
Lost Heroes 2,3DS,Action,2015,73.0,7.1,Unknown,0.07
The Testament of Sherlock Holmes,PC,Adventure,2012,73.0,8.0,M,0.06999999999999999
Eagle Flight,PS4,Adventure,2016,72.0,7.8,E10+,0.07
Goodbye Deponia,PC,Adventure,2013,80.0,7.9,Unknown,0.06
Pro Yaky? Spirits 2014,PSV,Sports,2014,77.0,5.7,Unknown,0.07
Legend of Kay,PS4,Action,2015,73.0,7.1,Unknown,0.060000000000000005
The Book of Unwritten Tales 2,PS4,Adventure,2015,63.0,8.6,Unknown,0.06999999999999999
Inversion,PS3,Shooter,2012,56.0,5.4,M,0.06999999999999999
Future Card Buddy Fight: Yuujou no Bakunetsu Fight,3DS,Action,2015,73.0,7.1,Unknown,0.07
Assassin's Creed Chronicles,PSV,Action,2016,70.0,8.0,T,0.07
Transformer: Rise of the Dark Spark (3DS),3DS,Role-Playing,2014,74.0,7.5,Unknown,0.07
Brothers in Arms: Furious 4,PS3,Shooter,2012,76.0,6.7,M,0.07
Hyperdimension Neptunia Victory,PSV,Role-Playing,2014,74.0,7.5,Unknown,0.07
